No	From	To	Tokens	TokenBalance	Block	TxIndex	TxHash
76	0x0000000000000000000000000000000000000000	0xa82278da4f4856e5661dca8be2415e456021596d	4786.8	13079289.712953027979484315	3913152	31	0xd46315647cee93863b5949f14b6d4a2677356ff88b90366cce00f52649d5fd09
77	0x0000000000000000000000000000000000000000	0xde5865c161f2b6df00a579557235e56726026610	239.34	13079529.052953027979484315	3913152	33	0x43ede4e6039b6b6c21bf45c8ded1d6b7ef68019bdedfe934a0c77fb0339ca79f
78	0x0000000000000000000000000000000000000000	0x2a798547eecdaaf73735becbb3a892f005957af0	2393.4	13081922.452953027979484315	3913152	41	0x4f67a7df362cf16938601599469ea93405b7ee38b5583985ec496d7b9791b232
79	0x0000000000000000000000000000000000000000	0x5ee22c3f5c709c30fece68b3cbc65757d34d6402	4308.12	13086230.572953027979484315	3913152	42	0x0bfc35e1cc2dbd084f04b3af7c42060c2b81be6fe6f42cf67638b05e45176646
80	0x0000000000000000000000000000000000000000	0xd1b01eb50eac81e2a0fcf89aae5b3672776596ed	866.4108	13087096.983753027979484315	3913152	44	0x17469e7e47bebda59839d58215bb278d2c4025a81a1bca0b864220c162c079b6
81	0x0000000000000000000000000000000000000000	0x4c64d2dc1b20af77aab340606625c6bea804c360	472.8879815736	13087569.871734601579484315	3913152	46	0x4b2e67cf80c55e4aacd1525c78febdd291a305e0a6c3cd7007015381a49f8de1
82	0x0000000000000000000000000000000000000000	0xa7c89d24da721db34ec7c544688f58ea3bb6591b	957.36	13088527.231734601579484315	3913152	47	0x5324df9412310c640a0164fbeb658229061e627094415c55cd9cfa401c0e15c4
83	0x0000000000000000000000000000000000000000	0x56550afda6452c11a257d78a6942dac5096e13aa	4786.8	13093314.031734601579484315	3913153	1	0xac8233e64c6bf8033e8c698e8e004eafec7cf1e9d0f46221283345a1c4fb5699
84	0x0000000000000000000000000000000000000000	0x90ef7500c348a43d71b447d56f91f2a7bee27ce8	19147.2	13112461.231734601579484315	3913153	2	0xd082001171be65f1bf423b1477cbcc13d2e30f87eda4217b33e1b496b6373499
85	0x0000000000000000000000000000000000000000	0x61f79a083413fe2d977a90a2078ff1a9ca7770e6	2393.4	13114854.631734601579484315	3913153	5	0x741876a5a738e84f327abdcba7200b3ea456a717d7692d1eb559d5e69fcfce81
